op_name,total_time_ms
node_conv1d_1_kernel_time,204.567
node_conv1d_7_kernel_time,181.112
node_conv1d_2_kernel_time,136.242
node_conv1d_3_kernel_time,82.884
node_conv1d_4_kernel_time,50.829
node_conv1d_5_kernel_time,38.61
node_Erf_17_kernel_time,35.963
node_MatMul_1425_kernel_time,32.953
node_MatMul_1479_kernel_time,32.811
node_MatMul_1488_kernel_time,32.0
node_MatMul_1605_kernel_time,31.842
node_MatMul_1542_kernel_time,31.699
node_MatMul_1551_kernel_time,31.607
node_MatMul_1614_kernel_time,31.254
node_MatMul_669_kernel_time,30.6
node_MatMul_723_kernel_time,28.945
node_MatMul_156_kernel_time,28.347
node_MatMul_660_kernel_time,28.172
node_MatMul_732_kernel_time,28.139
node_MatMul_534_kernel_time,28.094
node_MatMul_165_kernel_time,27.715
node_MatMul_291_kernel_time,27.65
node_MatMul_597_kernel_time,27.636
node_MatMul_345_kernel_time,27.624
node_MatMul_471_kernel_time,27.597
node_MatMul_786_kernel_time,27.412
node_MatMul_228_kernel_time,27.21
node_MatMul_408_kernel_time,27.076
node_MatMul_606_kernel_time,27.069
node_MatMul_354_kernel_time,27.038
