op_name,time_ms,cpu_time_total_ms,cuda_time_total_ms,calls
aten::conv1d,6.940966125000003,7.597397,0.0,8
aten::convolution,6.940966125000003,7.521461000000004,0.0,8
aten::_convolution,6.940966125000003,7.436196000000001,0.0,8
aten::cudnn_convolution,6.786003250000004,3.8812860000000042,0.0,8
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688fprop_analytic_tf32_128x64_32x3_nhwc_align4>(cutlass_tensorop_s1688fprop_analytic_tf32_128x64_32x3_nhwc_align4::Params),2.8322955625000006,0.0,0.0,16
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4>(cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4::Params),1.8656679999999997,0.0,0.0,1
aten::_weight_norm,1.6119939999999988,0.06577899999999863,0.0,1
aten::_weight_norm_interface,1.6119939999999988,0.05190399999999863,0.0,1
"void at::native::(anonymous namespace)::weight_norm_fwd_last_dim_kernel<float, float>(float*, float*, float const*, float const*, int, int)",1.6119939999999988,0.0,0.0,1
sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,0.47696300000000047,0.0,0.0,5
Activity Buffer Request,0.4709070000000011,1.851408,0.0,1
"void precomputed_convolve_sgemm<float, 1024, 5, 5, 4, 3, 3, 1, false>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, bool, bool, float const*, float const*, int*)",0.4663020000000006,0.0,0.0,1
ampere_sgemm_128x64_tn,0.38798872222222247,0.0,0.0,144
aten::linear,0.38457656849315136,11.205667999999989,0.0,146
aten::addmm,0.38457656849315136,7.851568999999974,0.0,146
ampere_sgemm_128x32_tn,0.10870799999999872,0.0,0.0,1
"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0.08143293181818204,0.0,0.0,44
ampere_sgemm_128x128_tn,0.053812916666667814,0.0,0.0,24
aten::bmm,0.0516454791666672,1.653079000000005,0.0,48
ampere_sgemm_128x128_nn,0.04947804166666659,0.0,0.0,24
aten::layer_norm,0.0456376842105259,4.513121999999993,0.0,57
aten::native_layer_norm,0.0456376842105259,3.5024310000000223,0.0,57
