-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::addmm         7.60%       4.847ms        14.04%       8.957ms      61.350us      47.808ms        49.11%      47.808ms     327.450us           0 B           0 B      41.55 MB      41.55 MB           146  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      47.521ms        48.81%      47.521ms     330.009us           0 B           0 B           0 B           0 B           144  
                                aten::cudnn_convolution         2.39%       1.526ms         9.22%       5.883ms     735.328us      39.552ms        40.63%      40.004ms       5.000ms           0 B           0 B      13.02 MB      13.02 MB             8  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      31.365ms        32.22%      31.365ms       1.960ms           0 B           0 B           0 B           0 B            16  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       3.462ms         3.56%       3.462ms      78.680us           0 B           0 B           0 B           0 B            44  
                                            aten::copy_         2.11%       1.349ms         5.54%       3.536ms      32.142us       2.873ms         2.95%       2.873ms      26.122us           0 B           0 B           0 B           0 B           110  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.873ms         2.95%       2.873ms      26.122us           0 B           0 B           0 B           0 B           110  
                                              aten::bmm         1.96%       1.248ms         2.87%       1.832ms      38.164us       2.376ms         2.44%       2.376ms      49.495us           0 B           0 B       8.12 MB       8.12 MB            48  
sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us       2.291ms         2.35%       2.291ms     458.116us           0 B           0 B           0 B           0 B             5  
